a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
150.23;150.23;450.69;1.902;0.75;0.75;1;1;3;60449600;799.1314087;0.7213655896
149.49;149.49;448.47;1.892;0.75;0.7;1;1;3;60449600;947.6694336;0.7321384711
148.74;148.74;446.21;1.883;0.75;0.65;1;1;3;60449600;1097.561279;0.74328043
147.97;147.97;443.92;1.873;0.75;0.6;1;1;3;60449600;1250.739746;0.7549136546
151.53;151.53;454.58;1.918;0.7;1;1;1;3;60449600;121.4305801;0.7029785938
150.88;150.88;452.65;1.91;0.7;0.95;1;1;3;60449600;230.7058868;0.7120694708
150.23;150.23;450.68;1.902;0.7;0.9;1;1;3;60449600;391.7208252;0.7213815284
149.56;149.56;448.69;1.893;0.7;0.85;1;1;3;60449600;553.4389648;0.7310934308
148.89;148.89;446.67;1.885;0.7;0.8;1;1;3;60449600;713.793396;0.7410185299
148.21;148.21;444.62;1.876;0.7;0.75;1;1;3;60449600;876.9040527;0.7512863625
147.51;147.51;442.54;1.867;0.7;0.7;1;1;3;60449600;1042.21814;0.7620002034
146.81;146.81;440.43;1.858;0.7;0.65;1;1;3;60449600;1210.183716;0.7729711593
146.09;146.09;438.28;1.849;0.7;0.6;1;1;3;60449600;1380.996338;0.7844370574
149.41;149.41;448.22;1.891;0.65;1;1;1;3;60449600;167.1245117;0.7333312985
148.81;148.81;446.42;1.884;0.65;0.95;1;1;3;60449600;246.6893768;0.7422306918
148.2;148.2;444.59;1.876;0.65;0.9;1;1;3;60449600;422.986145;0.7514369755
147.58;147.58;442.74;1.868;0.65;0.85;1;1;3;60449600;599.7954712;0.7609321902
146.95;146.95;440.86;1.86;0.65;0.8;1;1;3;60449600;775.7555542;0.7707438522
146.32;146.32;438.95;1.852;0.65;0.75;1;1;3;60449600;954.4154663;0.7807780621
145.67;145.67;437.01;1.844;0.65;0.7;1;1;3;60449600;1135.522827;0.7912557959
145.01;145.01;435.04;1.836;0.65;0.65;1;1;3;60449600;1319.275269;0.802086146
144.35;144.35;433.04;1.827;0.65;0.6;1;1;3;60449600;1506.870483;0.8131841459
147.42;147.42;442.26;1.866;0.6;1;1;1;3;60449600;226.9516602;0.7634121768
146.87;146.87;440.6;1.859;0.6;0.95;1;1;3;60449600;262.9981995;0.7720387434
146.3;146.3;438.9;1.852;0.6;0.9;1;1;3;60449600;454.4163513;0.7810774782
145.73;145.73;437.19;1.845;0.6;0.85;1;1;3;60449600;646.0342407;0.7902758616
145.15;145.15;435.44;1.837;0.6;0.8;1;1;3;60449600;837.1288452;0.7998139185
144.56;144.56;433.67;1.83;0.6;0.75;1;1;3;60449600;1030.367554;0.8096409458
143.96;143.96;431.87;1.822;0.6;0.7;1;1;3;60449600;1226.915161;0.8198119135
143.35;143.35;430.05;1.815;0.6;0.65;1;1;3;60449600;1424.878418;0.8302934254
142.73;142.73;428.19;1.807;0.6;0.6;1;1;3;60449600;1639.168823;0.8411625836
140.99;140.99;704.96;1.894;1;1;1;1;5;60449600;66.67876434;0.5236083036
140.2;140.2;701.02;1.883;1;0.95;1;1;5;60449600;235.7690582;0.5325051481
139.41;139.41;697.04;1.873;1;0.9;1;1;5;60449600;398.4050903;0.5416272543
138.6;138.6;693.01;1.862;1;0.85;1;1;5;60449600;554.3128052;0.5511641183
137.79;137.79;688.93;1.851;1;0.8;1;1;5;60449600;701.0109253;0.5609668017
136.96;136.96;684.81;1.84;1;0.75;1;1;5;60449600;857.1529541;0.5712011693
136.13;136.13;680.63;1.829;1;0.7;1;1;5;60449600;1028.342773;0.5817371562
138.49;138.49;692.47;1.86;0.95;1;1;1;5;60449600;84.9021225;0.5524750632
137.75;137.75;688.74;1.85;0.95;0.95;1;1;5;60449600;214.5918427;0.5614515984
136.99;136.99;684.97;1.84;0.95;0.9;1;1;5;60449600;364.5333252;0.5708213223
136.23;136.23;681.16;1.83;0.95;0.85;1;1;5;60449600;513.8556519;0.5804346913
135.46;135.46;677.3;1.82;0.95;0.8;1;1;5;60449600;659.6821289;0.5903946085
134.68;134.68;673.39;1.809;0.95;0.75;1;1;5;60449600;805.7312622;0.6007258911
133.89;133.89;669.43;1.799;0.95;0.7;1;1;5;60449600;950.1514282;0.6114253618
136.12;136.12;680.59;1.828;0.9;1;1;1;5;60449600;84.48928833;0.5818648922
135.41;135.41;677.07;1.819;0.9;0.95;1;1;5;60449600;230.0626373;0.5910345585
